ORD_NO,SKU_CD,NUM_PCS,LOC,CART_NO,SEQ,PICKER_NO,BATCH_NO
ORD_0020,SKU_0294,1,WP_0059,26,5,2.0,24.0
ORD_0021,SKU_0030,1,WP_0101,26,6,2.0,24.0
ORD_0022,SKU_0256,1,WP_0040,17,3,2.0,23.0
ORD_0023,SKU_0277,1,WP_0081,29,6,3.0,6.0
ORD_0023,SKU_0277,1,WP_0081,29,7,3.0,6.0
ORD_0023,SKU_0297,1,WP_0027,29,4,3.0,6.0
ORD_0023,SKU_0038,1,WP_0081,29,8,3.0,6.0
ORD_0023,SKU_0185,1,WP_0047,29,10,3.0,6.0
ORD_0024,SKU_0285,1,WP_0020,30,6,3.0,24.0
ORD_0025,SKU_0226,1,WP_0119,32,3,3.0,17.0
ORD_0025,SKU_0291,1,WP_0074,32,7,3.0,17.0
ORD_0025,SKU_0308,1,WP_0060,32,6,3.0,17.0
ORD_0025,SKU_0029,1,WP_0075,32,9,3.0,17.0
ORD_0025,SKU_0138,1,WP_0048,32,10,3.0,17.0
ORD_0026,SKU_0121,1,WP_0026,10,2,4.0,5.0
ORD_0026,SKU_0134,1,WP_0125,10,9,4.0,5.0
ORD_0026,SKU_0266,1,WP_0090,10,13,4.0,5.0
ORD_0026,SKU_0040,1,WP_0040,10,8,4.0,5.0
ORD_0026,SKU_0291,1,WP_0074,10,14,4.0,5.0
ORD_0027,SKU_0100,1,WP_0018,30,7,3.0,24.0
ORD_0028,SKU_0031,1,WP_0145,33,3,3.0,12.0
ORD_0028,SKU_0074,1,WP_0096,33,10,3.0,12.0
ORD_0029,SKU_0232,1,WP_0011,34,1,4.0,6.0
ORD_0029,SKU_0203,1,WP_0063,34,6,4.0,6.0
ORD_0030,SKU_0203,1,WP_0063,34,7,4.0,6.0
ORD_0030,SKU_0191,1,WP_0001,34,2,4.0,6.0
ORD_0030,SKU_0243,1,WP_0043,34,4,4.0,6.0
ORD_0030,SKU_0205,1,WP_0030,34,5,4.0,6.0
ORD_0030,SKU_0242,1,WP_0109,34,12,4.0,6.0
ORD_0031,SKU_0301,1,WP_0132,35,6,4.0,3.0
ORD_0031,SKU_0016,1,WP_0119,35,7,4.0,3.0
ORD_0032,SKU_0218,1,WP_0120,36,9,1.0,11.0
ORD_0032,SKU_0278,1,WP_0135,36,13,1.0,11.0
ORD_0032,SKU_0108,1,WP_0120,36,10,1.0,11.0
ORD_0032,SKU_0302,1,WP_0028,36,1,1.0,11.0
ORD_0032,SKU_0138,1,WP_0048,36,2,1.0,11.0
ORD_0033,SKU_0010,1,WP_0054,37,3,4.0,12.0
ORD_0033,SKU_0193,1,WP_0072,37,12,4.0,12.0
ORD_0033,SKU_0060,1,WP_0115,37,10,4.0,12.0
ORD_0034,SKU_0092,1,WP_0139,29,5,3.0,6.0
ORD_0034,SKU_0115,1,WP_0074,29,11,3.0,6.0
ORD_0034,SKU_0239,1,WP_0021,29,2,3.0,6.0
ORD_0035,SKU_0235,1,WP_0126,38,9,2.0,18.0
ORD_0035,SKU_0325,1,WP_0024,38,1,2.0,18.0
ORD_0036,SKU_0291,1,WP_0074,39,1,1.0,15.0
ORD_0036,SKU_0114,1,WP_0134,39,7,1.0,15.0
ORD_0036,SKU_0260,1,WP_0082,39,8,1.0,15.0
ORD_0036,SKU_0053,1,WP_0010,39,12,1.0,15.0
ORD_0037,SKU_0025,1,WP_0052,40,6,2.0,26.0
ORD_0038,SKU_0017,1,WP_0089,11,7,2.0,20.0
ORD_0039,SKU_0131,1,WP_0021,30,5,3.0,24.0
ORD_0039,SKU_0302,1,WP_0028,30,2,3.0,24.0
ORD_0039,SKU_0151,1,WP_0079,30,3,3.0,24.0
ORD_0039,SKU_0127,1,WP_0027,30,1,3.0,24.0
ORD_0039,SKU_0251,1,WP_0117,30,4,3.0,24.0
ORD_0040,SKU_0234,1,WP_0126,41,5,3.0,26.0
ORD_0040,SKU_0050,1,WP_0149,41,4,3.0,26.0
ORD_0040,SKU_0200,1,WP_0039,41,6,3.0,26.0
ORD_0041,SKU_0213,1,WP_0044,5,11,2.0,17.0
ORD_0041,SKU_0032,1,WP_0045,5,10,2.0,17.0
ORD_0041,SKU_0101,1,WP_0095,5,5,2.0,17.0
ORD_0042,SKU_0288,1,WP_0093,42,5,4.0,2.0
ORD_0042,SKU_0089,1,WP_0107,42,7,4.0,2.0
ORD_0043,SKU_0172,1,WP_0068,1,4,1.0,12.0
ORD_0043,SKU_0012,1,WP_0122,1,6,1.0,12.0
ORD_0043,SKU_0093,1,WP_0061,1,12,1.0,12.0
ORD_0043,SKU_0100,1,WP_0018,1,8,1.0,12.0
ORD_0043,SKU_0213,1,WP_0044,1,10,1.0,12.0
ORD_0044,SKU_0142,1,WP_0113,38,5,2.0,18.0
ORD_0044,SKU_0208,1,WP_0028,38,10,2.0,18.0
ORD_0045,SKU_0173,1,WP_0058,43,1,3.0,19.0
ORD_0045,SKU_0089,1,WP_0107,43,10,3.0,19.0
ORD_0045,SKU_0277,1,WP_0081,43,8,3.0,19.0
ORD_0046,SKU_0303,1,WP_0132,45,10,2.0,10.0
ORD_0046,SKU_0016,1,WP_0119,45,8,2.0,10.0
ORD_0046,SKU_0293,1,WP_0106,45,6,2.0,10.0
ORD_0046,SKU_0018,1,WP_0077,45,14,2.0,10.0
ORD_0046,SKU_0251,1,WP_0117,45,9,2.0,10.0
ORD_0047,SKU_0180,1,WP_0047,40,2,2.0,26.0
ORD_0048,SKU_0130,1,WP_0043,45,12,2.0,10.0
ORD_0048,SKU_0233,1,WP_0083,45,3,2.0,10.0
ORD_0049,SKU_0251,1,WP_0117,46,5,4.0,20.0
ORD_0049,SKU_0265,1,WP_0030,46,3,4.0,20.0
ORD_0049,SKU_0035,1,WP_0085,46,4,4.0,20.0
ORD_0050,SKU_0200,1,WP_0039,47,2,1.0,17.0
ORD_0050,SKU_0285,1,WP_0020,47,10,1.0,17.0
ORD_0050,SKU_0054,1,WP_0004,47,9,1.0,17.0
ORD_0051,SKU_0091,1,WP_0150,33,9,3.0,12.0
ORD_0051,SKU_0036,1,WP_0147,33,7,3.0,12.0
ORD_0051,SKU_0070,1,WP_0164,33,8,3.0,12.0
ORD_0051,SKU_0292,1,WP_0088,33,12,3.0,12.0
ORD_0052,SKU_0309,1,WP_0065,25,11,1.0,1.0
ORD_0052,SKU_0062,1,WP_0078,25,13,1.0,1.0
ORD_0052,SKU_0045,1,WP_0008,25,1,1.0,1.0
ORD_0052,SKU_0039,1,WP_0150,25,14,1.0,1.0
ORD_0052,SKU_0252,1,WP_0093,25,19,1.0,1.0
ORD_0053,SKU_0170,1,WP_0099,48,7,3.0,1.0
ORD_0053,SKU_0153,1,WP_0163,48,8,3.0,1.0
ORD_0053,SKU_0242,1,WP_0109,48,9,3.0,1.0
ORD_0053,SKU_0200,1,WP_0039,48,10,3.0,1.0
ORD_0054,SKU_0281,1,WP_0144,2,12,2.0,4.0
ORD_0054,SKU_0335,1,WP_0129,2,10,2.0,4.0
ORD_0054,SKU_0254,1,WP_0007,2,3,2.0,4.0
ORD_0055,SKU_0008,1,WP_0116,49,9,2.0,13.0
ORD_0055,SKU_0255,1,WP_0011,49,12,2.0,13.0
ORD_0055,SKU_0170,1,WP_0099,49,5,2.0,13.0
ORD_0056,SKU_0058,1,WP_0002,50,5,4.0,1.0
ORD_0056,SKU_0274,1,WP_0161,50,13,4.0,1.0
ORD_0056,SKU_0190,1,WP_0113,50,7,4.0,1.0
ORD_0056,SKU_0159,1,WP_0019,50,1,4.0,1.0
ORD_0057,SKU_0038,1,WP_0081,32,2,3.0,17.0
ORD_0057,SKU_0158,1,WP_0059,32,5,3.0,17.0
ORD_0057,SKU_0115,1,WP_0074,32,8,3.0,17.0
ORD_0057,SKU_0177,1,WP_0114,32,4,3.0,17.0
ORD_0058,SKU_0179,1,WP_0128,14,4,2.0,22.0
ORD_0058,SKU_0201,1,WP_0161,14,9,2.0,22.0
ORD_0059,SKU_0165,1,WP_0138,35,11,4.0,3.0
ORD_0059,SKU_0084,1,WP_0049,35,1,4.0,3.0
ORD_0059,SKU_0034,1,WP_0084,35,13,4.0,3.0
ORD_0059,SKU_0137,1,WP_0110,35,12,4.0,3.0
ORD_0059,SKU_0157,1,WP_0137,35,9,4.0,3.0
ORD_0060,SKU_0306,1,WP_0076,51,5,4.0,26.0
ORD_0061,SKU_0039,1,WP_0150,21,3,4.0,16.0
ORD_0062,SKU_0063,1,WP_0144,53,1,3.0,27.0
ORD_0062,SKU_0304,1,WP_0106,53,3,3.0,27.0
ORD_0063,SKU_0101,1,WP_0095,42,10,4.0,2.0
ORD_0063,SKU_0217,1,WP_0094,42,9,4.0,2.0
ORD_0063,SKU_0073,1,WP_0103,42,3,4.0,2.0
ORD_0063,SKU_0288,1,WP_0093,42,6,4.0,2.0
ORD_0063,SKU_0273,1,WP_0108,42,8,4.0,2.0
ORD_0064,SKU_0231,1,WP_0140,6,1,4.0,19.0
ORD_0065,SKU_0249,1,WP_0153,21,2,4.0,16.0
ORD_0065,SKU_0124,1,WP_0154,21,1,4.0,16.0
ORD_0066,SKU_0252,1,WP_0093,54,14,3.0,4.0
ORD_0066,SKU_0179,1,WP_0128,54,4,3.0,4.0
ORD_0067,SKU_0212,1,WP_0167,55,6,4.0,23.0
ORD_0067,SKU_0329,1,WP_0110,55,7,4.0,23.0
ORD_0068,SKU_0195,1,WP_0034,55,2,4.0,23.0
ORD_0068,SKU_0203,1,WP_0063,55,3,4.0,23.0
ORD_0069,SKU_0187,1,WP_0123,19,4,1.0,27.0
ORD_0069,SKU_0281,1,WP_0144,19,2,1.0,27.0
ORD_0070,SKU_0106,1,WP_0038,17,6,2.0,23.0
ORD_0070,SKU_0200,1,WP_0039,17,4,2.0,23.0
ORD_0070,SKU_0043,1,WP_0039,17,5,2.0,23.0
ORD_0070,SKU_0232,1,WP_0011,17,1,2.0,23.0
ORD_0070,SKU_0143,1,WP_0038,17,7,2.0,23.0
ORD_0071,SKU_0137,1,WP_0110,20,5,2.0,12.0
ORD_0071,SKU_0171,1,WP_0151,20,10,2.0,12.0
ORD_0071,SKU_0283,1,WP_0116,20,12,2.0,12.0
ORD_0071,SKU_0136,1,WP_0104,20,11,2.0,12.0
ORD_0072,SKU_0011,1,WP_0130,56,5,1.0,21.0
ORD_0072,SKU_0040,1,WP_0040,56,2,1.0,21.0
ORD_0073,SKU_0271,1,WP_0050,45,1,2.0,10.0
ORD_0073,SKU_0099,1,WP_0075,45,13,2.0,10.0
ORD_0073,SKU_0122,1,WP_0159,45,7,2.0,10.0
ORD_0074,SKU_0084,1,WP_0049,57,13,1.0,8.0
ORD_0074,SKU_0254,1,WP_0007,57,1,1.0,8.0
ORD_0074,SKU_0117,1,WP_0008,57,2,1.0,8.0
ORD_0074,SKU_0220,1,WP_0024,57,7,1.0,8.0
ORD_0075,SKU_0016,1,WP_0119,39,2,1.0,15.0
ORD_0075,SKU_0121,1,WP_0026,39,11,1.0,15.0
ORD_0075,SKU_0026,1,WP_0133,39,5,1.0,15.0
ORD_0075,SKU_0240,1,WP_0118,39,4,1.0,15.0
ORD_0075,SKU_0127,1,WP_0027,39,10,1.0,15.0
ORD_0076,SKU_0032,1,WP_0045,58,4,4.0,18.0
ORD_0076,SKU_0195,1,WP_0034,58,1,4.0,18.0
ORD_0076,SKU_0111,1,WP_0032,58,3,4.0,18.0
ORD_0077,SKU_0113,1,WP_0026,60,13,1.0,4.0
ORD_0077,SKU_0230,1,WP_0012,60,15,1.0,4.0
ORD_0077,SKU_0208,1,WP_0028,60,14,1.0,4.0
ORD_0078,SKU_0246,1,WP_0056,62,13,3.0,10.0
ORD_0078,SKU_0274,1,WP_0161,62,10,3.0,10.0
ORD_0078,SKU_0098,1,WP_0004,62,2,3.0,10.0
ORD_0078,SKU_0309,1,WP_0065,62,11,3.0,10.0
ORD_0078,SKU_0284,1,WP_0112,62,12,3.0,10.0
ORD_0079,SKU_0215,1,WP_0130,36,8,1.0,11.0
ORD_0079,SKU_0298,1,WP_0015,36,6,1.0,11.0
ORD_0079,SKU_0161,1,WP_0044,36,5,1.0,11.0
ORD_0079,SKU_0142,1,WP_0113,36,7,1.0,11.0
ORD_0080,SKU_0299,1,WP_0053,63,2,4.0,8.0
ORD_0080,SKU_0309,1,WP_0065,63,5,4.0,8.0
ORD_0080,SKU_0276,1,WP_0102,63,15,4.0,8.0
ORD_0081,SKU_0037,1,WP_0013,64,4,3.0,2.0
ORD_0081,SKU_0033,1,WP_0138,64,6,3.0,2.0
ORD_0081,SKU_0221,1,WP_0101,64,13,3.0,2.0
ORD_0081,SKU_0224,1,WP_0049,64,16,3.0,2.0
ORD_0081,SKU_0009,1,WP_0051,64,15,3.0,2.0
ORD_0082,SKU_0116,1,WP_0107,65,2,2.0,21.0
ORD_0082,SKU_0189,1,WP_0092,65,3,2.0,21.0
ORD_0082,SKU_0129,1,WP_0035,65,5,2.0,21.0
ORD_0082,SKU_0306,1,WP_0076,65,4,2.0,21.0
ORD_0082,SKU_0258,1,WP_0055,65,1,2.0,21.0
ORD_0083,SKU_0321,1,WP_0158,65,9,2.0,21.0
ORD_0084,SKU_0223,1,WP_0062,69,1,4.0,11.0
ORD_0085,SKU_0120,1,WP_0002,60,2,1.0,4.0
ORD_0085,SKU_0253,1,WP_0006,60,8,1.0,4.0
ORD_0085,SKU_0159,1,WP_0019,60,6,1.0,4.0
ORD_0085,SKU_0176,1,WP_0018,60,5,1.0,4.0
ORD_0086,SKU_0236,1,WP_0098,71,6,3.0,18.0
ORD_0086,SKU_0316,1,WP_0089,71,10,3.0,18.0
ORD_0086,SKU_0106,1,WP_0038,71,2,3.0,18.0
ORD_0086,SKU_0120,1,WP_0002,71,1,3.0,18.0
ORD_0087,SKU_0136,1,WP_0104,71,9,3.0,18.0
ORD_0087,SKU_0028,1,WP_0025,71,5,3.0,18.0
ORD_0087,SKU_0044,1,WP_0091,71,11,3.0,18.0
ORD_0088,SKU_0046,1,WP_0143,21,5,4.0,16.0
ORD_0089,SKU_0209,1,WP_0100,64,12,3.0,2.0
ORD_0089,SKU_0056,1,WP_0155,64,11,3.0,2.0
ORD_0089,SKU_0269,1,WP_0128,64,10,3.0,2.0
ORD_0089,SKU_0053,1,WP_0010,64,2,3.0,2.0
ORD_0089,SKU_0222,1,WP_0046,64,17,3.0,2.0
ORD_0090,SKU_0126,1,WP_0023,63,1,4.0,8.0
ORD_0090,SKU_0219,1,WP_0100,63,14,4.0,8.0
ORD_0090,SKU_0317,1,WP_0005,63,9,4.0,8.0
ORD_0090,SKU_0077,1,WP_0065,63,6,4.0,8.0
ORD_0090,SKU_0307,1,WP_0005,63,10,4.0,8.0
ORD_0091,SKU_0275,1,WP_0163,72,11,3.0,5.0
ORD_0091,SKU_0156,1,WP_0006,72,4,3.0,5.0
ORD_0091,SKU_0333,1,WP_0146,72,9,3.0,5.0
ORD_0091,SKU_0013,1,WP_0145,72,10,3.0,5.0
ORD_0091,SKU_0272,1,WP_0036,72,6,3.0,5.0
ORD_0092,SKU_0022,1,WP_0156,65,8,2.0,21.0
ORD_0093,SKU_0332,1,WP_0142,22,2,3.0,1.0
ORD_0094,SKU_0021,1,WP_0048,40,5,2.0,26.0
ORD_0094,SKU_0195,1,WP_0034,40,1,2.0,26.0
ORD_0094,SKU_0180,1,WP_0047,40,3,2.0,26.0
ORD_0094,SKU_0185,1,WP_0047,40,4,2.0,26.0
ORD_0095,SKU_0164,1,WP_0152,73,10,2.0,6.0
ORD_0095,SKU_0123,1,WP_0003,73,5,2.0,6.0
ORD_0095,SKU_0136,1,WP_0104,73,8,2.0,6.0
ORD_0095,SKU_0300,1,WP_0017,73,3,2.0,6.0
ORD_0096,SKU_0122,1,WP_0159,74,13,1.0,13.0
ORD_0096,SKU_0333,1,WP_0146,74,12,1.0,13.0
ORD_0096,SKU_0112,1,WP_0147,74,10,1.0,13.0
ORD_0096,SKU_0304,1,WP_0106,74,4,1.0,13.0
ORD_0097,SKU_0065,1,WP_0029,75,5,3.0,7.0
ORD_0097,SKU_0132,1,WP_0057,75,6,3.0,7.0
ORD_0097,SKU_0081,1,WP_0131,75,13,3.0,7.0
ORD_0097,SKU_0306,1,WP_0076,75,10,3.0,7.0
ORD_0098,SKU_0273,1,WP_0108,63,4,4.0,8.0
ORD_0098,SKU_0100,1,WP_0018,63,8,4.0,8.0
ORD_0098,SKU_0243,1,WP_0043,63,13,4.0,8.0
ORD_0099,SKU_0178,1,WP_0058,49,7,2.0,13.0
ORD_0099,SKU_0307,1,WP_0005,49,2,2.0,13.0
ORD_0099,SKU_0149,1,WP_0125,49,11,2.0,13.0
ORD_0099,SKU_0219,1,WP_0100,49,4,2.0,13.0
ORD_0100,SKU_0224,1,WP_0049,75,3,3.0,7.0
ORD_0100,SKU_0290,1,WP_0073,75,8,3.0,7.0
ORD_0100,SKU_0067,1,WP_0010,75,1,3.0,7.0
ORD_0101,SKU_0041,1,WP_0017,30,8,3.0,24.0
ORD_0102,SKU_0266,1,WP_0090,5,9,2.0,17.0
ORD_0102,SKU_0025,1,WP_0052,5,1,2.0,17.0
ORD_0103,SKU_0009,1,WP_0051,76,10,3.0,13.0
ORD_0103,SKU_0080,1,WP_0131,76,8,3.0,13.0
ORD_0103,SKU_0027,1,WP_0102,76,6,3.0,13.0
ORD_0104,SKU_0325,1,WP_0024,29,3,3.0,6.0
ORD_0104,SKU_0115,1,WP_0074,29,12,3.0,6.0
ORD_0104,SKU_0038,1,WP_0081,29,9,3.0,6.0
ORD_0105,SKU_0280,1,WP_0016,60,3,1.0,4.0
ORD_0105,SKU_0253,1,WP_0006,60,9,1.0,4.0
ORD_0105,SKU_0300,1,WP_0017,60,4,1.0,4.0
ORD_0105,SKU_0253,1,WP_0006,60,10,1.0,4.0
ORD_0105,SKU_0317,1,WP_0005,60,7,1.0,4.0
ORD_0106,SKU_0197,1,WP_0118,77,7,4.0,24.0
ORD_0106,SKU_0163,1,WP_0032,77,2,4.0,24.0
ORD_0106,SKU_0283,1,WP_0116,77,5,4.0,24.0
ORD_0107,SKU_0141,1,WP_0105,26,2,2.0,24.0
ORD_0108,SKU_0001,1,WP_0083,51,6,4.0,26.0
ORD_0109,SKU_0073,1,WP_0103,73,7,2.0,6.0
ORD_0109,SKU_0098,1,WP_0004,73,6,2.0,6.0
ORD_0109,SKU_0188,1,WP_0141,73,16,2.0,6.0
ORD_0109,SKU_0119,1,WP_0020,73,1,2.0,6.0
ORD_0110,SKU_0095,1,WP_0007,49,1,2.0,13.0
ORD_0110,SKU_0142,1,WP_0113,49,8,2.0,13.0
ORD_0110,SKU_0314,1,WP_0099,49,6,2.0,13.0
ORD_0111,SKU_0336,1,WP_0069,80,8,4.0,13.0
ORD_0111,SKU_0323,1,WP_0076,80,6,4.0,13.0
ORD_0111,SKU_0189,1,WP_0092,80,12,4.0,13.0
ORD_0112,SKU_0174,1,WP_0052,81,9,2.0,9.0
ORD_0112,SKU_0138,1,WP_0048,81,12,2.0,9.0
ORD_0112,SKU_0036,1,WP_0147,81,13,2.0,9.0
ORD_0112,SKU_0076,1,WP_0115,81,14,2.0,9.0
ORD_0113,SKU_0276,1,WP_0102,26,7,2.0,24.0
ORD_0113,SKU_0276,1,WP_0102,26,8,2.0,24.0
ORD_0114,SKU_0019,1,WP_0087,12,2,3.0,20.0
ORD_0115,SKU_0302,1,WP_0028,81,6,2.0,9.0
ORD_0115,SKU_0230,1,WP_0012,81,4,2.0,9.0
ORD_0115,SKU_0250,1,WP_0012,81,5,2.0,9.0
ORD_0115,SKU_0237,1,WP_0042,81,7,2.0,9.0
ORD_0115,SKU_0083,1,WP_0055,81,8,2.0,9.0
ORD_0116,SKU_0294,1,WP_0059,69,3,4.0,11.0
ORD_0117,SKU_0207,1,WP_0117,77,4,4.0,24.0
ORD_0118,SKU_0292,1,WP_0088,82,6,1.0,3.0
ORD_0118,SKU_0136,1,WP_0104,82,7,1.0,3.0
ORD_0118,SKU_0210,1,WP_0057,82,4,1.0,3.0
ORD_0119,SKU_0225,1,WP_0015,83,6,1.0,10.0
ORD_0119,SKU_0203,1,WP_0063,83,2,1.0,10.0
ORD_0119,SKU_0045,1,WP_0008,83,1,1.0,10.0
ORD_0119,SKU_0215,1,WP_0130,83,8,1.0,10.0
ORD_0120,SKU_0115,1,WP_0074,84,5,4.0,4.0
ORD_0120,SKU_0213,1,WP_0044,84,2,4.0,4.0
ORD_0120,SKU_0136,1,WP_0104,84,7,4.0,4.0
ORD_0120,SKU_0265,1,WP_0030,84,3,4.0,4.0
ORD_0120,SKU_0130,1,WP_0043,84,4,4.0,4.0
ORD_0121,SKU_0078,1,WP_0071,51,1,4.0,26.0
ORD_0121,SKU_0029,1,WP_0075,51,4,4.0,26.0
ORD_0121,SKU_0290,1,WP_0073,51,2,4.0,26.0
ORD_0121,SKU_0166,1,WP_0073,51,3,4.0,26.0
ORD_0122,SKU_0310,1,WP_0036,84,15,4.0,4.0
ORD_0122,SKU_0293,1,WP_0106,84,10,4.0,4.0
ORD_0122,SKU_0272,1,WP_0036,84,16,4.0,4.0
ORD_0122,SKU_0187,1,WP_0123,84,11,4.0,4.0
ORD_0122,SKU_0319,1,WP_0087,84,6,4.0,4.0
ORD_0123,SKU_0324,1,WP_0080,85,4,3.0,9.0
ORD_0123,SKU_0139,1,WP_0064,85,2,3.0,9.0
ORD_0123,SKU_0006,1,WP_0066,85,3,3.0,9.0
ORD_0123,SKU_0270,1,WP_0077,85,10,3.0,9.0
ORD_0124,SKU_0270,1,WP_0077,85,11,3.0,9.0
ORD_0124,SKU_0279,1,WP_0062,85,6,3.0,9.0
ORD_0124,SKU_0018,1,WP_0077,85,12,3.0,9.0
ORD_0124,SKU_0223,1,WP_0062,85,7,3.0,9.0
ORD_0125,SKU_0194,1,WP_0153,86,5,1.0,25.0
ORD_0125,SKU_0178,1,WP_0058,86,7,1.0,25.0
ORD_0126,SKU_0320,1,WP_0151,87,7,1.0,23.0
ORD_0126,SKU_0062,1,WP_0078,87,3,1.0,23.0
ORD_0127,SKU_0323,1,WP_0076,85,9,3.0,9.0
ORD_0127,SKU_0279,1,WP_0062,85,8,3.0,9.0
ORD_0128,SKU_0045,1,WP_0008,88,1,3.0,21.0
ORD_0128,SKU_0183,1,WP_0092,88,6,3.0,21.0
ORD_0129,SKU_0015,1,WP_0042,17,2,2.0,23.0
ORD_0130,SKU_0298,1,WP_0015,48,5,3.0,1.0
ORD_0130,SKU_0065,1,WP_0029,48,3,3.0,1.0
ORD_0130,SKU_0191,1,WP_0001,48,4,3.0,1.0
ORD_0130,SKU_0130,1,WP_0043,48,2,3.0,1.0
ORD_0130,SKU_0225,1,WP_0015,48,6,3.0,1.0
ORD_0131,SKU_0003,1,WP_0155,3,8,1.0,22.0
ORD_0131,SKU_0015,1,WP_0042,3,4,1.0,22.0
ORD_0132,SKU_0133,1,WP_0029,89,10,1.0,14.0
ORD_0132,SKU_0189,1,WP_0092,89,6,1.0,14.0
ORD_0132,SKU_0191,1,WP_0001,89,9,1.0,14.0
ORD_0132,SKU_0032,1,WP_0045,89,11,1.0,14.0
ORD_0132,SKU_0200,1,WP_0039,89,5,1.0,14.0
ORD_0133,SKU_0129,1,WP_0035,55,1,4.0,23.0
ORD_0133,SKU_0020,1,WP_0066,55,4,4.0,23.0
ORD_0134,SKU_0328,1,WP_0133,37,6,4.0,12.0
ORD_0134,SKU_0016,1,WP_0119,37,5,4.0,12.0
ORD_0134,SKU_0032,1,WP_0045,37,13,4.0,12.0
ORD_0134,SKU_0197,1,WP_0118,37,8,4.0,12.0
ORD_0135,SKU_0245,1,WP_0157,66,3,4.0,2.0
ORD_0136,SKU_0222,1,WP_0046,76,2,3.0,13.0
ORD_0136,SKU_0032,1,WP_0045,76,3,3.0,13.0
ORD_0136,SKU_0276,1,WP_0102,76,7,3.0,13.0
ORD_0137,SKU_0335,1,WP_0129,7,1,3.0,16.0
